qid,Len,Den,P7,P13
,b1085,hypothetical protein,"""321""",Q8
,b1086,23S rRNA pseudouridine%28955%2C2504%2C2580%29 synthase,"""960""",Q8
,b1087,Maf-like protein,"""585""",Q8
,b4418,novel Novel sRNA%2C function unknown,"""169""",Q8
,b1088,conserved protein%2C DUF177 family,"""522""",Q8
,b1089,50S ribosomal subunit protein L32,"""174""",Q8
,b1090,putative phosphate acyltransferase,"""1071""",Q8
,b1091,3-oxoacyl-%5Bacyl-carrier-protein%5D synthase III,"""954""",Q8
,b1092,malonyl-CoA-%5Bacyl-carrier-protein%5D transacylase,"""930""",Q8
,b1093,3-oxoacyl-%5Bacyl-carrier-protein%5D reductase,"""735""",Q8
,b1094,acyl carrier protein %28ACP%29,"""237""",Q8
,b1095,3-oxoacyl-%5Bacyl-carrier-protein%5D synthase II,"""1242""",Q8
,b1096,4-amino-4-deoxychorismate lyase component of para-aminobenzoate synthase multienzyme complex,"""810""",Q8
,b1097,septation protein%2C ampicillin sensitivity,"""1023""",Q8
,b1098,thymidylate kinase,"""642""",Q8
,b1100,putative DNAse,"""798""",Q8
,b1099,DNA polymerase III%2C delta prime subunit,"""1005""",Q8
,b1101,fused glucose-specific PTS enzymes: IIB component%2FIIC component,"""1434""",Q8
,b1102,ferric-rhodotorulic acid outer membrane transporter,"""2190""",Q8
,b1103,purine nucleoside phosphoramidase%2C dadA activator protein,"""360""",Q8
,b1106,thiamin kinase,"""825""",Q8
,b1107,beta N-acetyl-glucosaminidase,"""1026""",Q8
,b1108,hypothetical protein,"""543""",Q8
,b1109,respiratory NADH dehydrogenase 2%2Fcupric reductase,"""1305""",Q8
,b1110,hypothetical protein,"""540""",Q8
,b1111,repressor for bhsA%28ycfR%29,"""633""",Q8
,b1112,biofilm%2C cell surface and signaling protein,"""258""",Q8
,b1113,L%2CD-transpeptidase linking Lpp to murein,"""963""",Q8
,b1114,transcription-repair coupling factor,"""3447""",Q8
,b1115,inner membrane protein,"""1074""",Q8
,b1116,lipoprotein-releasing system transmembrane protein,"""1200""",Q8
,b1117,outer membrane-specific lipoprotein transporter subunit,"""702""",Q8
,b1118,lipoprotein-releasing system transmembrane protein,"""1245""",Q8
,b1119,N-acetyl-D-glucosamine kinase,"""912""",Q8
,b1120,deacetylase of acs and cheY%2C chemotaxis regulator,"""729""",Q8
,b1121,inner membrane protein,"""789""",Q8
,b1122,conserved inner membrane protein,"""462""",Q8
,b1123,polyamine transporter subunit,"""1047""",Q8
,b1124,polyamine transporter subunit,"""795""",Q8
,b1125,polyamine transporter subunit,"""828""",Q8
,b1126,polyamine transporter subunit,"""1137""",Q8
,b1127,peptidase T,"""1227""",Q8
,b1129,sensory histidine kinase in two-component regulatory system with PhoP,"""1461""",Q8
,b1130,DNA-binding response regulator in two-component regulatory system with PhoQ,"""672""",Q8
,b1131,adenylosuccinate lyase,"""1371""",Q8
,b1132,putative lysogenization regulator,"""642""",Q8
,b1133,tRNA%28Gln%2CLys%2CGlu%29 U34 2-thiouridylase%2C first step in mnm%285%29-s%282%29U34-tRNA synthesis,"""1107""",Q8
,b1134,bifunctional thiamin pyrimidine pyrophosphate hydrolase%2F thiamin pyrophosphate hydrolase,"""462""",Q8
,b1135,23S rRNA pseudouridine%282457%29 synthase,"""654""",Q8
,b1136,e14 prophage%3B isocitrate dehydrogenase%2C specific for NADP%2B,"""1251""",Q8
,b1137,e14 prophage%3B predicted SAM-dependent methyltransferase,"""666""",Q8
,b1138,e14 prophage%3B predicted inner membrane protein,"""705""",Q8
,b1139,e14 prophage%3B cell death peptidase%2C inhibitor of T4 late gene expression,"""894""",Q8
,b1140,e14 prophage%3B predicted integrase,"""1128""",Q8
,b1141,e14 prophage%3B predicted excisionase,"""246""",Q8
,b1143,e14 prophage%3B putative protein,"""342""",Q8
,b1144,e14 prophage%3B putative protein,"""309""",Q8
,b1145,e14 prophage%3B repressor protein phage e14,"""675""",Q8
,b1146,e14 prophage%3B predicted DNA-binding transcriptional regulator,"""201""",Q8
,b1147,e14 prophage%3B predicted DNA-binding transcriptional regulator,"""558""",Q8
,b1148,e14 prophage%3B putative protein,"""339""",Q8
,b1155,e14 prophage%3B putative protein,"""414""",Q8
,b1154,e14 prophage%3B putative protein,"""630""",Q8
,b1156,e14 prophage%3B predicted tail fiber assembly protein,"""603""",Q8
,b1157,pseudo,"""501""",Q8
,b1158,e14 prophage%3B site-specific DNA recombinase,"""555""",Q8
,b4519,pseudo,"""165""",Q8
,b1161,hypothetical protein,"""405""",Q8
,b1162,repressor of blue light-responsive genes,"""732""",Q8
,b1163,anti-repressor for YcgE%2C blue light-responsive%3B FAD-binding%3B has c-di-GMP phosphodiesterase-like EAL domain%2C but does not degrade c-di-GMP,"""1212""",Q8
,b1164,RcsB connector protein for regulation of biofilm and acid-resistance,"""237""",Q8
,b1165,RcsB connector protein for regulation of biofilm,"""273""",Q8
,b1166,RcsB connector protein for regulation of biofilm and acid-resistance,"""267""",Q8
,b1167,hypothetical protein,"""249""",Q8
,b1168,putative membrane-anchored cyclic-di-GMP phosphodiesterase,"""1524""",Q8
,b4520,inner membrane division septum protein,"""219""",Q8
,b4491,pseudo,"""2648""",Q8
,b1171,hypothetical protein,"""330""",Q8
,b1172,conserved protein%2C UPF0757 family,"""345""",Q8
,b4593,hypothetical protein,"""174""",Q8
,b4594,hypothetical protein,"""186""",Q8
,b4521,pseudo,"""344""",Q8
,b1174,cell division topological specificity factor,"""267""",Q8
,b1175,membrane ATPase of the MinC-MinD-MinE system,"""813""",Q8
,b1176,cell division inhibitor,"""696""",Q8
,b1177,hypothetical protein,"""369""",Q8
,b1178,hypothetical protein,"""402""",Q8
,b1179,hypothetical protein,"""294""",Q8
,b1181,UPF0153 family cysteine cluster protein%2C function unknown,"""462""",Q8
,b1182,hemolysin E,"""912""",Q8
,b1183,DNA polymerase V%2C subunit D,"""420""",Q8
,b1184,DNA polymerase V%2C subunit C,"""1269""",Q8
,b1185,oxidoreductase that catalyzes reoxidation of DsbA protein disulfide isomerase I,"""531""",Q8
,b1186,sodium:proton antiporter,"""1542""",Q8
,b1187,DNA-binding transcriptional dual regulator of fatty acid metabolism,"""720""",Q8
,b1188,hypothetical protein,"""1533""",Q8
,b1189,D-amino acid dehydrogenase,"""1299""",Q8
,b1191,putative cation%2Fproton antiporter,"""1737""",Q8
,b1192,murein tetrapeptide carboxypeptidase%3B LD-carboxypeptidase A,"""915""",Q8
,b1193,lytic murein endotransglycosylase E,"""612""",Q8
,b1194,flagellar velocity braking protein%2C c-di-GMP-regulated,"""735""",Q8
,b1195,putative inner membrane protein,"""255""",Q8
,b1196,hypothetical protein,"""441""",Q8
,b1197,periplasmic trehalase,"""1698""",Q8
,b1198,fused predicted dihydroxyacetone-specific PTS enzymes: HPr component%2FEI component,"""1419""",Q8
,b1200,dihydroxyacetone kinase%2C PTS-dependent%2C dihydroxyacetone-binding subunit,"""1071""",Q8
,b1201,DNA-binding transcription activator of the dhaKLM operon,"""1920""",Q8
,b1202,putative adhesin,"""2868""",Q8
,b1203,catalase inhibitor protein%3B ATPase%2C K%2B-dependent%2C ribosome-associated,"""1092""",Q8
,b1204,peptidyl-tRNA hydrolase,"""585""",Q8
,b1205,putative inner membrane protein,"""279""",Q8
,b1206,C4-dicarboxylic acid transporter,"""1680""",Q8
,b1207,phosphoribosylpyrophosphate synthase,"""948""",Q8
,b1208,4-diphosphocytidyl-2-C-methylerythritol kinase,"""852""",Q8
,b1209,lipoprotein localization factor,"""624""",Q8
,b1210,glutamyl tRNA reductase,"""1257""",Q8
,b1213,putative inner membrane protein%2C SIRB family,"""393""",Q8
,b1214,hypothetical protein,"""810""",Q8
,b1215,3-deoxy-D-manno-octulosonate 8-phosphate synthase,"""855""",Q8
,b4419,toxic polypeptide%2C small,"""108""",Q8
,b4420,sRNA antisense regulator affects LdrA translation%3B proposed addiction module in LDR-A repeat%2C with toxic peptide LdrA,"""67""",Q8
,b4421,toxic polypeptide%2C small,"""108""",Q8
,b4422,sRNA antisense regulator affects LdrB translation%3B proposed addiction module in LDR-B repeat%2C with toxic peptide LdrB,"""66""",Q8
,b4423,toxic polypeptide%2C small,"""108""",Q8
,b4424,sRNA antisense regulator affects LdrC translation%3B proposed addiction module in LDR-C repeat%2C with toxic peptide LdrC,"""68""",Q8
,b1216,calcium%2Fsodium:proton antiporter,"""1101""",Q8
,b1217,cation transport regulator,"""231""",Q8
,b1218,cation transport regulator,"""696""",Q8
,b1219,hypothetical protein,"""354""",Q8
,b1220,putative invasin,"""1395""",Q8
,b1221,DNA-binding response regulator in two-component regulatory system with NarX %28or NarQ%29,"""651""",Q8
,b1222,sensory histidine kinase in two-component regulatory system with NarL,"""1797""",Q8
,b1223,nitrate%2Fnitrite transporter,"""1392""",Q8
,b1224,nitrate reductase 1%2C alpha subunit,"""3744""",Q8
,b1225,nitrate reductase 1%2C beta %28Fe-S%29 subunit,"""1539""",Q8
,b1227,nitrate reductase 1%2C gamma %28cytochrome b%28NR%29%29 subunit,"""678""",Q8
,b4425,rtT sRNA%2C processed from tyrT transcript,"""171""",Q8
,b1229,protamine-like protein,"""90""",Q8
,b1230,tRNA-Tyr,"""85""",Q8
,b1231,tRNA-Tyr,"""85""",Q8
,b1232,formyltetrahydrofolate hydrolase,"""843""",Q8
,b1233,conserved protein%2C UPF0225 family,"""459""",Q8
,b1234,putative phospholipase%2C patatin-like family,"""906""",Q8
,b1235,response regulator binding RpoS to initiate proteolysis by ClpXP%3B required for the PcnB-degradosome interaction during stationary phase,"""1014""",Q8
,b1236,glucose-1-phosphate uridylyltransferase,"""909""",Q8
,b1237,global DNA-binding transcriptional dual regulator H-NS,"""414""",Q8
,b1238,thymidine kinase%2Fdeoxyuridine kinase,"""618""",Q8
,b4573,pseudo,"""897""",Q8
,b1241,fused acetaldehyde-CoA dehydrogenase%2Firon-dependent alcohol dehydrogenase%2Fpyruvate-formate lyase deactivase,"""2676""",Q8
,b1242,putative inner membrane protein,"""648""",Q8
,b1243,oligopeptide transporter subunit,"""1632""",Q8
,b1244,oligopeptide transporter subunit,"""921""",Q8
,b1247,oligopeptide transporter subunit,"""1005""",Q8
,b1246,oligopeptide transporter subunit,"""1014""",Q8
,b1248,conserved protein%2C UPF0263 family,"""330""",Q8
,b1249,cardiolipin synthase 1,"""1461""",Q8
,b4595,hypothetical protein,"""174""",Q8
,b1250,voltage-gated potassium channel,"""1254""",Q8
,b1251,putative enzyme,"""297""",Q8
,b1252,membrane spanning protein in TonB-ExbB-ExbD transport complex,"""720""",Q8
,b1253,acyl-CoA esterase,"""399""",Q8
,b1254,putative inner membrane protein,"""540""",Q8
,b1255,inner membrane protein%2C UPF0259 family,"""744""",Q8
,b1256,outer membrane protein W,"""639""",Q8
,b1257,putative rubrerythrin%2Fferritin-like metal-binding protein,"""507""",Q8
,b1258,putative rubrerythrin%2Fferritin-like metal-binding protein,"""501""",Q8
,b1259,hypothetical protein,"""180""",Q8
,b1260,tryptophan synthase%2C alpha subunit,"""807""",Q8
,b1261,tryptophan synthase%2C beta subunit,"""1194""",Q8
,b1262,fused indole-3-glycerolphosphate synthetase%2FN-%285-phosphoribosyl%29anthranilate isomerase,"""1359""",Q8
,b1263,fused glutamine amidotransferase %28component II%29 of anthranilate synthase%2Fanthranilate phosphoribosyl transferase,"""1596""",Q8
,b1264,component I of anthranilate synthase,"""1563""",Q8
,b1266,hypothetical protein,"""882""",Q8
,b1265,trp operon leader peptide,"""45""",Q8
,b1268,putative inner membrane protein,"""1896""",Q8
,b1267,putative RNA binding protein,"""621""",Q8
,b1269,23S rRNA pseudouridine%282605%29 synthase,"""876""",Q8
,b1270,cob%28I%29alamin adenolsyltransferase%2Fcobinamide ATP-dependent adenolsyltransferase,"""591""",Q8
,b1271,putative oxoacyl-%28acyl carrier protein%29 reductase%2C EmrKY-TolC system,"""759""",Q8
,b1272,putative inner membrane peptidase%3B multicopy suppressor of htrA%28degP%29,"""1050""",Q8
,b1273,DUF2498 protein YciN,"""252""",Q8
,b1274,DNA topoisomerase I%2C omega subunit,"""2598""",Q8
,b1275,DNA-binding transcriptional dual regulator%2C O-acetyl-L-serine-binding,"""975""",Q8
,b4522,hypothetical protein,"""129""",Q8
,b4523,hypothetical protein,"""168""",Q8
,b1276,aconitate hydratase 1,"""2676""",Q8
,b1277,GTP cyclohydrolase II,"""591""",Q8
,b1278,phosphatidylglycerophosphatase B,"""765""",Q8
,b1279,DUF1049 family inner membrane protein%2C function unknown,"""309""",Q8
,b1280,TPR-repeats-containing protein,"""1170""",Q8
,b1281,orotidine-5%27-phosphate decarboxylase,"""738""",Q8
,b1283,lipoprotein,"""219""",Q8
,b1284,global regulator of transcription%3B DeoR family,"""750""",Q8
,b4596,hypothetical protein,"""174""",Q8
,b1285,cyclic-di-GMP phosphodiesterase%3B csgD regulator%3B modulator of Rnase II stability,"""1986""",Q8
,b4672,hypothetical protein,"""105""",Q8
,b1286,ribonuclease II,"""1935""",Q8
,b1287,putative oxidoreductase,"""1128""",Q8
,b1288,enoyl-%5Bacyl-carrier-protein%5D reductase%2C NADH-dependent,"""789""",Q8
,b1289,hypothetical protein,"""354""",Q8
,b1290,antimicrobial peptide transport ABC system ATP-binding protein,"""807""",Q8
,b1291,antimicrobial peptide transport ABC system ATP-binding protein,"""993""",Q8
,b1292,antimicrobial peptide transport ABC transporter permease,"""891""",Q8
,b1293,antimicrobial peptide transport ABC transporter permease,"""966""",Q8
,b1294,antimicrobial peptide transport ABC transporter periplasmic binding protein,"""1644""",Q8
,b1295,hypothetical protein,"""246""",Q8
,b1296,putrescine importer,"""1386""",Q8
,b1297,gamma-Glu-putrescine synthase,"""1419""",Q8
,b1298,gamma-Glu-GABA hydrolase,"""765""",Q8
,b1299,DNA-binding transcriptional repressor for the puu divergon,"""558""",Q8
,b1300,gamma-Glu-gamma-aminobutyraldehyde dehydrogenase%2C NAD%28P%29H-dependent,"""1488""",Q8
,b1302,GABA aminotransferase%2C PLP-dependent,"""1266""",Q8
,b1303,DNA-binding transcriptional activator,"""978""",Q8
,b1304,regulatory protein for phage-shock-protein operon,"""669""",Q8
,b1305,DNA-binding transcriptional regulator of psp operon,"""225""",Q8
,b1308,thiosulfate:cyanide sulfurtransferase %28rhodanese%29,"""315""",Q8
,b1309,putative glucosyltransferase,"""1680""",Q8
,b1314,putative enzyme,"""789""",Q8
,b1315,putative oxidoreductase%2C NADH-binding,"""1056""",Q8
,b1316,putative hydrolase,"""2268""",Q8
,b1317,beta-phosphoglucomutase,"""660""",Q8
,b4524,pseudo,"""1082""",Q8
,b1319,outer membrane porin G,"""906""",Q8
,b1320,putative DNA-binding transcriptional regulator,"""999""",Q8
,b1321,conserved protein with nucleoside triphosphate hydrolase domain,"""1398""",Q8
,b1322,inner membrane protein%2C UPF0283 family,"""1062""",Q8
,b1323,DNA-binding transcriptional dual regulator%2C tyrosine-binding,"""1542""",Q8
,b1324,lipid hydroperoxide peroxidase,"""507""",Q8
,b1325,L-Ala-D%2FL-Glu epimerase,"""966""",Q8
,b1326,murein peptide amidase A,"""729""",Q8
,b4525,pseudo,"""138""",Q8
,b1327,putative hydrolase,"""921""",Q8
,b1328,putative DNA-binding transcriptional regulator,"""900""",Q8
,b1329,murein tripeptide %28L-ala-gamma-D-glutamyl-meso-DAP%29 transporter subunit,"""1614""",Q8
,b1330,mechanosensitive channel protein%2C very small conductance,"""1032""",Q8
,b1331,IS5 transposase and trans-activator,"""1017""",Q8
,b1332,putative inner membrane protein%2C DUF2534 family,"""258""",Q8
,b1333,stress-induced protein,"""951""",Q8
,b1334,DNA-binding transcriptional dual regulator%2C global regulator of anaerobic growth,"""753""",Q8
,b1335,O-6-alkylguanine-DNA:cysteine-protein methyltransferase,"""516""",Q8
,b1336,p-aminobenzoyl-glutamate transporter%3B membrane protein,"""1527""",Q8
,b1337,p-aminobenzoyl-glutamate hydrolase%2C B subunit,"""1446""",Q8
,b1338,p-aminobenzoyl-glutamate hydrolase%2C A subunit,"""1311""",Q8
,b1339,putative DNA-binding transcriptional regulator of abgABT operon,"""909""",Q8
,b4426,motility and biofilm regulator sRNA,"""96""",Q8
,b1340,DNA endonuclease,"""564""",Q8
,b1341,diguanylate cyclase%2C csgD regulator,"""1233""",Q8
,b1342,putative Zn%28II%29 transporter,"""984""",Q8
,b4699,FNR-activated anaerobic sRNA antisense regulator down regulates cydDC%2C metE%2C sodA%2C sodB%2C Hfq-dependent%3B mediates negative FNR regulation,"""122""",Q8
,b1343,ATP-dependent RNA helicase%2C specific for 23S rRNA,"""1374""",Q8
,b1344,tRNA 2-thiocytidine biosynthesis protein,"""936""",Q8
,b1345,Rac prophage%3B integrase,"""1236""",Q8
,b1346,Rac prophage%3B conserved protein,"""216""",Q8
,b1347,double-strand break reduction protein%2C Rac prophage,"""210""",Q8
,b1348,Rac prophage%3B restriction alleviation protein,"""195""",Q8
,b1349,Rac prophage%3B recombination and repair protein,"""810""",Q8
,b1350,Rac prophage%3B exonuclease VIII%2C 5%27 -%3E 3%27 specific dsDNA exonuclease,"""2601""",Q8
,b1351,Rac prophage%3B putative protein,"""276""",Q8
,b1352,Rac prophage%3B inhibitor of ftsZ%2C killing protein,"""222""",Q8
,b1353,Rac prophage%3B phage superinfection exclusion protein,"""489""",Q8
,b1355,Rac prophage%3B putative protein,"""135""",Q8
,b1356,Rac prophage%3B predicted DNA-binding transcriptional regulator,"""477""",Q8
,b1357,Rac prophage%3B predicted DNA-binding transcriptional regulator,"""297""",Q8
,b1358,Rac prophage%3B putative protein,"""423""",Q8
,b1359,Rac prophage%3B conserved protein,"""858""",Q8
,b1360,Rac prophage%3B predicted DNA replication protein,"""747""",Q8
,b1362,pseudo,"""444""",Q8
,b1363,Rac prophage%3B potassium transporter subunit,"""1458""",Q8
,b1365,Rac prophage%3B conserved protein,"""264""",Q8
,b1366,pseudo,"""453""",Q8
,b1368,pseudo,"""933""",Q8
,b4570,pseudo,"""210""",Q8
,b4570,pseudo,"""190""",Q8
,b1370,pseudo,"""981""",Q8
,b1372,Rac prophage%3B predicted tail fiber protein,"""3363""",Q8
,b1374,Rac prophage%3B predicted site-specific recombinase,"""591""",Q8
,b1373,Rac prophage%3B predicted tail fiber assembly protein,"""576""",Q8
,b4638,pseudo,"""51""",Q8
,b1376,stress-induced protein%2C ATP-binding protein,"""435""",Q8
,b1377,outer membrane pore protein N%2C non-specific,"""1134""",Q8
,b4427,sRNA antisense regulator of OmpC translation%2C Hfq-dependent,"""109""",Q8
,b1378,fused predicted pyruvate-flavodoxin oxidoreductase: conserved protein%2Fconserved protein%2FFeS binding protein,"""3525""",Q8
,b4529,putative lipoprotein%2C DUF333 family,"""267""",Q8
,b1379,heat-inducible lipoprotein involved in novobiocin resistance,"""423""",Q8
,b1381,hypothetical protein,"""2640""",Q8
,b1380,fermentative D-lactate dehydrogenase%2C NAD-dependent,"""990""",Q8
,b1383,hypothetical protein,"""327""",Q8
,b1382,lipoprotein,"""186""",Q8
,b1384,DNA-binding transcriptional activator for tynA and feaB,"""906""",Q8
,b1385,phenylacetaldehyde dehydrogenase,"""1500""",Q8
,b1386,tyramine oxidase%2C copper-requiring,"""2274""",Q8
,b1387,fused oxepin-CoA hydrolase%2F3-oxo-5%2C6-dehydrosuberyl-CoA semialdehyde dehydrogenase,"""2046""",Q8
,b1390,ring 1%2C2-phenylacetyl-CoA epoxidase subunit,"""747""",Q8
,b1389,ring 1%2C2-phenylacetyl-CoA epoxidase possible subunit%2C not required for in vitro activity,"""288""",Q8
,b1388,ring 1%2C2-phenylacetyl-CoA epoxidase subunit,"""930""",Q8
,b1391,ring 1%2C2-phenylacetyl-CoA epoxidase subunit,"""498""",Q8
,b1393,2%2C3-dehydroadipyl-CoA hydratase,"""768""",Q8
,b1397,3-oxoadipyl-CoA%2F3-oxo-5%2C6-dehydrosuberyl-CoA thiolase,"""1206""",Q8
,b1398,phenylacetyl-CoA ligase,"""1314""",Q8
,b1399,DNA-binding transcriptional repressor of phenylacetic acid degradation paa operon%2C phenylacetyl-CoA inducer,"""951""",Q8
,b1400,putative hexapeptide repeat acetyltransferase,"""591""",Q8
,b4674,hypothetical protein,"""66""",Q8
,b4492,pseudo,"""2513""",Q8
,b1402,IS2 transposase TnpB,"""906""",Q8
,b1403,IS2 repressor TnpA,"""366""",Q8
,b4492,pseudo,"""53""",Q8
,b1404,IS30 transposase,"""1152""",Q8
,b4492,pseudo,"""3497""",Q8
,b1406,putative oxidoreductase%2C NAD%28P%29-binding,"""861""",Q8
,b1407,putative PF10971 family periplasmic methylglyoxal resistance protein,"""2307""",Q8
,b1409,putative CDP-diglyceride synthase,"""897""",Q8
,b1408,inner membrane protein,"""606""",Q8
,b1410,putative hydrolase,"""1758""",Q8
,b1411,putative phosphatase inner membrane protein,"""1293""",Q8
,b1412,NADH-azoreductase%2C FMN-dependent,"""606""",Q8
,b1413,putative ATP-dependent helicase,"""3903""",Q8
,b1414,conserved SAM-binding protein%2C DUF218 family,"""801""",Q8
,b1415,aldehyde dehydrogenase A%2C NAD-linked,"""1440""",Q8
,b4493,pseudo,"""1001""",Q8
,b1418,cytochrome b561,"""531""",Q8
,b4597,sRNA antisense regulator of yejABEF%2C Hfq-dependent%3B over-expression causes a thermosensitive growth phenotype on minimal glycerol%2C maltose%2C or ribose media,"""64""",Q8
,b1419,hypothetical protein,"""174""",Q8
,b4428,toxic polypeptide%2C small,"""150""",Q8
,b1420,regulatory peptide,"""168""",Q8
,b4429,sRNA antisense regulator blocking mokB%2C and hence hokB%2C translation,"""56""",Q8
,b1421,methyl-accepting chemotaxis protein III%2C ribose and galactose sensor receptor,"""1641""",Q8
,b1422,putative DNA-binding transcriptional regulator,"""924""",Q8
,b1423,putative metalloenzyme,"""1344""",Q8
,b1424,osmoregulated periplasmic glucan %28OPG%29 biosynthesis periplasmic protein,"""1656""",Q8
,b1426,DUF465 family protein%2C function unknown,"""225""",Q8
,b1427,ribosomal-protein-L7%2FL12-serine acetyltransferase,"""540""",Q8
,b1428,putative enzyme,"""981""",Q8
,b1429,potassium-tellurite ethidium and proflavin transporter,"""993""",Q8
,b1430,tellurite%2C selenium methyltransferase%2C SAM-dependent%3B tellurite%2C selenium resistance protein,"""594""",Q8
,b1431,lipoprotein,"""669""",Q8
,b4578,pseudo,"""432""",Q8
,b1432,IS609 transposase B,"""1149""",Q8
,b1433,inner membrane protein%2C predicted transporter%2C function unknown,"""1176""",Q8
,b1434,putative DNA-binding transcriptional regulator,"""537""",Q8
,b1435,putative peptidase,"""1962""",Q8
,b1436,hypothetical protein,"""231""",Q8
,b4532,mRNA interferase toxin of the HicAB toxin-antitoxin system,"""177""",Q8
,b1439,fused predicted DNA-binding transcriptional regulator%2Fpredicted amino transferase,"""1407""",Q8
,b1438,antitoxin for the HicAB toxin-antitoxin system,"""417""",Q8
,b1440,polyhydroxybutyrate %28PHB%29 synthase%2C ABC transporter periplasmic binding protein homolog,"""1146""",Q8
,b1442,putative spermidine%2Fputrescine transporter subunit,"""942""",Q8
,b1444,gamma-aminobutyraldehyde dehydrogenase,"""1425""",Q8
,b4598,hypothetical protein,"""96""",Q8
,b1445,conserved protein%2C DUF2566 family,"""174""",Q8
,b1446,hypothetical protein,"""234""",Q8
,b1447,inner membrane protein%2C DUF606 family,"""450""",Q8
,b1448,methionine N-acyltransferase%3B L-amino acid N-acyltransferase,"""519""",Q8
,b1449,curcumin%2Fdihydrocurcumin reductase%2C NADPH-dependent,"""1038""",Q8
,b1450,colanic acid and biofilm gene transcriptional regulator%2C MqsR-controlled,"""666""",Q8
,b1451,putative iron outer membrane transporter,"""2103""",Q8
,b1452,ATP-binding protein%2C periplasmic%2C function unknown,"""1062""",Q8
,b1453,L-asparagine transporter,"""1500""",Q8
,b1454,glutathione S-transferase homolog,"""618""",Q8
,b1455,hypothetical protein,"""213""",Q8
,b1456,pseudo,"""2037""",Q8
,b1457,hypothetical protein,"""483""",Q8
,b1459,pseudo,"""1054""",Q8
,b1461,4-oxalocrotonate tautomerase,"""234""",Q8
,b1462,hypothetical protein,"""570""",Q8
,b1463,N-hydroxyarylamine O-acetyltransferase,"""846""",Q8
,b1464,conserved predicted enzyme%2C PhzC-PhzF family,"""894""",Q8
,b1465,nitrate reductase 2 %28NRZ%29%2C gamma subunit,"""681""",Q8
,b1467,nitrate reductase 2 %28NRZ%29%2C beta subunit,"""1545""",Q8
,b1468,nitrate reductase 2 %28NRZ%29%2C alpha subunit,"""3741""",Q8
,b1469,nitrate%2Fnitrite transporter,"""1389""",Q8
,b1471,pseudo,"""1331""",Q8
,b1472,pseudo,"""279""",Q8
,b1473,aromatic amino acid exporter,"""882""",Q8
,b1474,formate dehydrogenase-N%2C alpha subunit%2C nitrate-inducible,"""3048""",Q8
,b1475,formate dehydrogenase-N%2C Fe-S %28beta%29 subunit%2C nitrate-inducible,"""885""",Q8
,b1476,formate dehydrogenase-N%2C cytochrome B556 %28gamma%29 subunit%2C nitrate-inducible,"""654""",Q8
,b1477,putative DNA-binding transcriptional regulator,"""285""",Q8
,b1478,ethanol-active dehydrogenase%2Facetaldehyde-active reductase,"""1011""",Q8
,b1479,malate dehydrogenase%2C %28decarboxylating%2C NAD-requiring%29 %28malic enzyme%29,"""1698""",Q8
,b1480,stationary-phase-induced ribosome-associated protein,"""138""",Q8
,b1481,biofilm-dependent modulation protein,"""216""",Q8
,b1482,lipoyl-dependent Cys-based peroxidase%2C hydroperoxide resistance%3B salt-shock inducible membrane protein%3B peroxiredoxin,"""432""",Q8
,b1484,D%2CD-dipeptide permease system%2C ATP-binding component,"""987""",Q8
,b1485,D-ala-D-ala transporter subunit,"""897""",Q8
,b1486,D-ala-D-ala transporter subunit,"""1023""",Q8
,b1487,D-ala-D-a la transporter subunit,"""1551""",Q8
,b1488,D-ala-D-ala dipeptidase%2C Zn-dependent,"""582""",Q8
,b1489,oxygen sensor%2C c-di-GMP phosphodiesterase%2C heme-regulated%3B cold- and stationary phase-induced bioflim regulator,"""2400""",Q8
,b1490,diguanylate cyclase%2C cold- and stationary phase-induced oxygen-dependent biofilm regulator,"""1383""",Q8
,b1491,liprotein%2C glycosyl hydrolase homolog,"""1320""",Q8
,b1492,glutamate:gamma-aminobutyric acid antiporter,"""1536""",Q8
,b1493,glutamate decarboxylase B%2C PLP-dependent,"""1401""",Q8
,b1494,putative peptidase,"""2796""",Q8
,b1495,putative porin protein,"""2373""",Q8
,b1496,fused predicted multidrug transporter subunits of ABC superfamily: membrane component%2FATP-binding component,"""1686""",Q8
,b1497,hypothetical protein,"""1158""",Q8
,b1498,hypothetical protein,"""1683""",Q8
,b1499,UV-inducible global regulator%2C EvgA-%2C GadE-dependent,"""762""",Q8
,b1501,putative oxidoreductase,"""2280""",Q8
,b1502,putative fimbrial-like adhesin protein,"""915""",Q8
,b1503,putative fimbrial-like adhesin protein,"""504""",Q8
,b1504,putative fimbrial-like adhesin protein,"""531""",Q8
,b1505,pseudo,"""1227""",Q8
,b1508,antitoxin of HipAB toxin-antitoxin system,"""267""",Q8
,b1507,EF-Tu kinase%3B serine protein kinase required for persister formation%3B toxin of HipAB TA pair,"""1323""",Q8
,b4696,pseudo,"""5323""",Q8
,b1511,autoinducer-2 %28AI-2%29 kinase,"""1593""",Q8
,b1512,lsr operon transcriptional repressor,"""954""",Q8
,b1513,autoinducer 2 import ATP-binding protein,"""1536""",Q8
,b1514,autoinducer 2 import system permease protein,"""1029""",Q8
,b1515,autoinducer 2 import system permease protein,"""993""",Q8
,b1516,autoinducer 2-binding protein,"""1023""",Q8
,b1517,putative autoinducer-2 %28AI-2%29 aldolase,"""876""",Q8
,b1518,autoinducer-2 %28AI-2%29 degrading protein LsrG,"""291""",Q8
,b1519,trans-aconitate methyltransferase,"""759""",Q8
